"Ion 119.00 (118.70 to 119.70): MA_Population_20-3.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_20-3.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_20-3.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_20-3.D\data.ms",""
"11.625","327.000","11.625","478.000","11.625","323.000","11.625","153.000"
"11.629","315.000","11.629","415.000","11.629","330.000","11.629","143.000"
"11.634","328.000","11.634","361.000","11.634","334.000","11.634","150.000"
"11.638","332.000","11.638","344.000","11.638","329.000","11.638","152.000"
"11.643","353.000","11.643","362.000","11.643","343.000","11.643","160.000"
"11.647","374.000","11.647","427.000","11.647","341.000","11.647","189.000"
"11.651","413.000","11.651","585.000","11.651","351.000","11.651","270.000"
"11.656","449.000","11.656","886.000","11.656","364.000","11.656","411.000"
"11.660","456.000","11.660","1267.000","11.660","381.000","11.660","647.000"
"11.664","447.000","11.664","1572.000","11.664","398.000","11.664","887.000"
"11.669","449.000","11.669","1679.000","11.669","386.000","11.669","1024.000"
"11.673","416.000","11.673","1513.000","11.673","395.000","11.673","1012.000"
"11.678","401.000","11.678","1230.000","11.678","405.000","11.678","848.000"
"11.682","381.000","11.682","879.000","11.682","417.000","11.682","634.000"
"11.686","365.000","11.686","614.000","11.686","425.000","11.686","423.000"
"11.691","359.000","11.691","462.000","11.691","411.000","11.691","282.000"
"11.695","352.000","11.695","389.000","11.695","408.000","11.695","206.000"
"11.699","341.000","11.699","362.000","11.699","414.000","11.699","183.000"
"11.704","341.000","11.704","359.000","11.704","433.000","11.704","167.000"
"11.708","332.000","11.708","348.000","11.708","421.000","11.708","161.000"
"11.713","332.000","11.713","341.000","11.713","421.000","11.713","159.000"
