"Ion 119.00 (118.70 to 119.70): MA_Population_54-3.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_54-3.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_54-3.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_54-3.D\data.ms",""
"11.625","594.000","11.625","578.000","11.625","479.000","11.625","681.000"
"11.629","576.000","11.629","532.000","11.629","445.000","11.629","489.000"
"11.634","562.000","11.634","496.000","11.634","430.000","11.634","339.000"
"11.638","554.000","11.638","476.000","11.638","404.000","11.638","264.000"
"11.642","569.000","11.642","471.000","11.642","403.000","11.642","237.000"
"11.647","613.000","11.647","485.000","11.647","409.000","11.647","233.000"
"11.651","657.000","11.651","589.000","11.651","410.000","11.651","258.000"
"11.656","718.000","11.656","804.000","11.656","434.000","11.656","346.000"
"11.660","810.000","11.660","1312.000","11.660","460.000","11.660","583.000"
"11.664","904.000","11.664","2113.000","11.664","522.000","11.664","1031.000"
"11.669","981.000","11.669","3047.000","11.669","585.000","11.669","1614.000"
"11.673","1023.000","11.673","3822.000","11.673","655.000","11.673","2227.000"
"11.677","1000.000","11.677","4014.000","11.677","718.000","11.677","2535.000"
"11.682","933.000","11.682","3573.000","11.682","714.000","11.682","2457.000"
"11.686","821.000","11.686","2581.000","11.686","663.000","11.686","1953.000"
"11.691","704.000","11.691","1655.000","11.691","596.000","11.691","1301.000"
"11.695","629.000","11.695","1090.000","11.695","558.000","11.695","798.000"
"11.699","596.000","11.699","740.000","11.699","508.000","11.699","493.000"
"11.704","564.000","11.704","597.000","11.704","498.000","11.704","344.000"
"11.708","550.000","11.708","548.000","11.708","489.000","11.708","280.000"
"11.712","543.000","11.712","533.000","11.712","505.000","11.712","252.000"
