"Ion 119.00 (118.70 to 119.70): MA_Population_23-3.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_23-3.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_23-3.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_23-3.D\data.ms",""
"11.625","225.000","11.625","214.000","11.625","214.000","11.625","112.000"
"11.629","222.000","11.629","211.000","11.629","206.000","11.629","112.000"
"11.634","229.000","11.634","209.000","11.634","209.000","11.634","116.000"
"11.638","229.000","11.638","211.000","11.638","211.000","11.638","120.000"
"11.642","225.000","11.642","227.000","11.642","207.000","11.642","122.000"
"11.647","233.000","11.647","254.000","11.647","208.000","11.647","137.000"
"11.651","239.000","11.651","324.000","11.651","206.000","11.651","169.000"
"11.655","240.000","11.655","442.000","11.655","209.000","11.655","232.000"
"11.660","250.000","11.660","596.000","11.660","219.000","11.660","314.000"
"11.664","243.000","11.664","725.000","11.664","221.000","11.664","428.000"
"11.669","241.000","11.669","772.000","11.669","226.000","11.669","495.000"
"11.673","241.000","11.673","712.000","11.673","223.000","11.673","481.000"
"11.677","242.000","11.677","586.000","11.677","219.000","11.677","406.000"
"11.682","234.000","11.682","438.000","11.682","221.000","11.682","312.000"
"11.686","231.000","11.686","346.000","11.686","227.000","11.686","236.000"
"11.690","237.000","11.690","292.000","11.690","228.000","11.690","188.000"
"11.695","226.000","11.695","260.000","11.695","226.000","11.695","161.000"
"11.699","230.000","11.699","241.000","11.699","220.000","11.699","147.000"
"11.704","236.000","11.704","239.000","11.704","226.000","11.704","137.000"
"11.708","233.000","11.708","235.000","11.708","226.000","11.708","129.000"
"11.712","229.000","11.712","237.000","11.712","236.000","11.712","128.000"
