"Ion 119.00 (118.70 to 119.70): MA_Population_13-3.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_13-3.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_13-3.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_13-3.D\data.ms",""
"11.625","329.000","11.625","416.000","11.625","365.000","11.625","177.000"
"11.629","328.000","11.629","401.000","11.629","367.000","11.629","177.000"
"11.634","344.000","11.634","400.000","11.634","373.000","11.634","180.000"
"11.638","338.000","11.638","408.000","11.638","370.000","11.638","188.000"
"11.642","349.000","11.642","415.000","11.642","379.000","11.642","190.000"
"11.647","368.000","11.647","461.000","11.647","382.000","11.647","204.000"
"11.651","397.000","11.651","553.000","11.651","402.000","11.651","253.000"
"11.656","463.000","11.656","699.000","11.656","437.000","11.656","337.000"
"11.660","537.000","11.660","861.000","11.660","476.000","11.660","428.000"
"11.664","601.000","11.664","991.000","11.664","539.000","11.664","534.000"
"11.669","628.000","11.669","1001.000","11.669","559.000","11.669","583.000"
"11.673","592.000","11.673","887.000","11.673","548.000","11.673","534.000"
"11.677","529.000","11.677","740.000","11.677","526.000","11.677","446.000"
"11.682","473.000","11.682","610.000","11.682","493.000","11.682","349.000"
"11.686","416.000","11.686","507.000","11.686","476.000","11.686","270.000"
"11.691","397.000","11.691","456.000","11.691","432.000","11.691","227.000"
"11.695","367.000","11.695","458.000","11.695","433.000","11.695","203.000"
"11.699","367.000","11.699","439.000","11.699","431.000","11.699","193.000"
"11.704","359.000","11.704","435.000","11.704","445.000","11.704","196.000"
"11.708","357.000","11.708","432.000","11.708","442.000","11.708","188.000"
"11.712","360.000","11.712","437.000","11.712","433.000","11.712","183.000"
