"Ion 119.00 (118.70 to 119.70): MA_Population_33-3.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_33-3.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_33-3.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_33-3.D\data.ms",""
"11.625","291.000","11.625","396.000","11.625","349.000","11.625","152.000"
"11.629","281.000","11.629","377.000","11.629","340.000","11.629","150.000"
"11.634","287.000","11.634","367.000","11.634","329.000","11.634","147.000"
"11.638","278.000","11.638","356.000","11.638","317.000","11.638","153.000"
"11.642","299.000","11.642","360.000","11.642","326.000","11.642","151.000"
"11.647","310.000","11.647","395.000","11.647","329.000","11.647","170.000"
"11.651","322.000","11.651","479.000","11.651","331.000","11.651","199.000"
"11.656","352.000","11.656","623.000","11.656","357.000","11.656","276.000"
"11.660","378.000","11.660","836.000","11.660","368.000","11.660","402.000"
"11.664","411.000","11.664","1024.000","11.664","391.000","11.664","531.000"
"11.669","428.000","11.669","1137.000","11.669","427.000","11.669","648.000"
"11.673","417.000","11.673","1143.000","11.673","455.000","11.673","698.000"
"11.677","398.000","11.677","957.000","11.677","445.000","11.677","627.000"
"11.682","362.000","11.682","754.000","11.682","432.000","11.682","487.000"
"11.686","326.000","11.686","572.000","11.686","415.000","11.686","350.000"
"11.690","309.000","11.690","463.000","11.690","402.000","11.690","251.000"
"11.695","300.000","11.695","430.000","11.695","404.000","11.695","195.000"
"11.699","294.000","11.699","411.000","11.699","403.000","11.699","175.000"
"11.704","293.000","11.704","391.000","11.704","398.000","11.704","162.000"
"11.708","291.000","11.708","390.000","11.708","396.000","11.708","169.000"
"11.712","291.000","11.712","390.000","11.712","398.000","11.712","165.000"
