"Ion 119.00 (118.70 to 119.70): MA_Population_27-3.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_27-3.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_27-3.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_27-3.D\data.ms",""
"11.625","232.000","11.625","277.000","11.625","205.000","11.625","112.000"
"11.629","233.000","11.629","254.000","11.629","200.000","11.629","112.000"
"11.634","224.000","11.634","231.000","11.634","195.000","11.634","119.000"
"11.638","237.000","11.638","227.000","11.638","192.000","11.638","113.000"
"11.642","248.000","11.642","230.000","11.642","197.000","11.642","116.000"
"11.647","265.000","11.647","246.000","11.647","189.000","11.647","123.000"
"11.651","271.000","11.651","290.000","11.651","196.000","11.651","140.000"
"11.655","277.000","11.655","349.000","11.655","203.000","11.655","175.000"
"11.660","291.000","11.660","424.000","11.660","206.000","11.660","222.000"
"11.664","297.000","11.664","504.000","11.664","208.000","11.664","283.000"
"11.669","290.000","11.669","533.000","11.669","216.000","11.669","314.000"
"11.673","284.000","11.673","505.000","11.673","213.000","11.673","313.000"
"11.677","269.000","11.677","435.000","11.677","215.000","11.677","277.000"
"11.682","263.000","11.682","365.000","11.682","206.000","11.682","234.000"
"11.686","253.000","11.686","299.000","11.686","208.000","11.686","188.000"
"11.690","238.000","11.690","272.000","11.690","200.000","11.690","153.000"
"11.695","241.000","11.695","254.000","11.695","200.000","11.695","142.000"
"11.699","238.000","11.699","246.000","11.699","200.000","11.699","129.000"
"11.704","237.000","11.704","243.000","11.704","198.000","11.704","124.000"
"11.708","238.000","11.708","238.000","11.708","199.000","11.708","124.000"
"11.712","235.000","11.712","236.000","11.712","208.000","11.712","126.000"
