"Ion 119.00 (118.70 to 119.70): MA_Population_38-3.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_38-3.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_38-3.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_38-3.D\data.ms",""
"11.625","570.000","11.625","648.000","11.625","502.000","11.625","373.000"
"11.629","575.000","11.629","603.000","11.629","503.000","11.629","326.000"
"11.634","562.000","11.634","561.000","11.634","493.000","11.634","288.000"
"11.638","573.000","11.638","527.000","11.638","514.000","11.638","271.000"
"11.643","586.000","11.643","521.000","11.643","511.000","11.643","266.000"
"11.647","604.000","11.647","531.000","11.647","521.000","11.647","268.000"
"11.651","683.000","11.651","616.000","11.651","551.000","11.651","307.000"
"11.656","849.000","11.656","802.000","11.656","617.000","11.656","395.000"
"11.660","1095.000","11.660","1129.000","11.660","769.000","11.660","554.000"
"11.664","1451.000","11.664","1509.000","11.664","944.000","11.664","797.000"
"11.669","1751.000","11.669","1882.000","11.669","1234.000","11.669","1068.000"
"11.673","1939.000","11.673","2052.000","11.673","1394.000","11.673","1263.000"
"11.677","1848.000","11.677","1868.000","11.677","1487.000","11.677","1255.000"
"11.682","1535.000","11.682","1537.000","11.682","1349.000","11.682","1078.000"
"11.686","1205.000","11.686","1146.000","11.686","1116.000","11.686","795.000"
"11.691","909.000","11.691","838.000","11.691","904.000","11.691","580.000"
"11.695","706.000","11.695","652.000","11.695","757.000","11.695","415.000"
"11.699","650.000","11.699","580.000","11.699","654.000","11.699","328.000"
"11.704","611.000","11.704","553.000","11.704","635.000","11.704","308.000"
"11.708","593.000","11.708","565.000","11.708","637.000","11.708","293.000"
"11.712","583.000","11.712","555.000","11.712","623.000","11.712","303.000"
