"Ion 119.00 (118.70 to 119.70): MA_Population_50-3.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_50-3.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_50-3.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_50-3.D\data.ms",""
"11.625","291.000","11.625","277.000","11.625","251.000","11.625","217.000"
"11.629","293.000","11.629","279.000","11.629","259.000","11.629","181.000"
"11.634","306.000","11.634","277.000","11.634","252.000","11.634","164.000"
"11.638","330.000","11.638","280.000","11.638","250.000","11.638","149.000"
"11.643","390.000","11.643","302.000","11.643","255.000","11.643","142.000"
"11.647","453.000","11.647","327.000","11.647","257.000","11.647","146.000"
"11.651","485.000","11.651","352.000","11.651","258.000","11.651","151.000"
"11.656","510.000","11.656","428.000","11.656","269.000","11.656","176.000"
"11.660","513.000","11.660","545.000","11.660","277.000","11.660","240.000"
"11.664","486.000","11.664","711.000","11.664","289.000","11.664","338.000"
"11.669","464.000","11.669","906.000","11.669","311.000","11.669","463.000"
"11.673","438.000","11.673","1029.000","11.673","323.000","11.673","579.000"
"11.678","406.000","11.678","1019.000","11.678","334.000","11.678","641.000"
"11.682","379.000","11.682","857.000","11.682","330.000","11.682","579.000"
"11.686","346.000","11.686","684.000","11.686","329.000","11.686","438.000"
"11.691","339.000","11.691","512.000","11.691","306.000","11.691","327.000"
"11.695","302.000","11.695","397.000","11.695","303.000","11.695","238.000"
"11.699","305.000","11.699","347.000","11.699","299.000","11.699","184.000"
"11.704","300.000","11.704","332.000","11.704","292.000","11.704","161.000"
"11.708","296.000","11.708","322.000","11.708","297.000","11.708","154.000"
"11.712","307.000","11.712","320.000","11.712","305.000","11.712","155.000"
