"Ion 119.00 (118.70 to 119.70): MA_Population_67-3.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_67-3.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_67-3.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_67-3.D\data.ms",""
"11.625","260.000","11.625","236.000","11.625","224.000","11.625","283.000"
"11.629","257.000","11.629","243.000","11.629","221.000","11.629","230.000"
"11.634","250.000","11.634","234.000","11.634","219.000","11.634","187.000"
"11.638","249.000","11.638","228.000","11.638","214.000","11.638","158.000"
"11.642","251.000","11.642","238.000","11.642","217.000","11.642","130.000"
"11.647","270.000","11.647","237.000","11.647","212.000","11.647","126.000"
"11.651","278.000","11.651","252.000","11.651","213.000","11.651","138.000"
"11.655","287.000","11.655","297.000","11.655","228.000","11.655","155.000"
"11.660","305.000","11.660","432.000","11.660","216.000","11.660","198.000"
"11.664","305.000","11.664","604.000","11.664","236.000","11.664","300.000"
"11.669","296.000","11.669","920.000","11.669","234.000","11.669","473.000"
"11.673","300.000","11.673","1276.000","11.673","248.000","11.673","700.000"
"11.677","295.000","11.677","1571.000","11.677","255.000","11.677","919.000"
"11.682","300.000","11.682","1563.000","11.682","265.000","11.682","1036.000"
"11.686","291.000","11.686","1306.000","11.686","268.000","11.686","922.000"
"11.690","274.000","11.690","962.000","11.690","274.000","11.690","708.000"
"11.695","265.000","11.695","654.000","11.695","271.000","11.695","494.000"
"11.699","260.000","11.699","431.000","11.699","262.000","11.699","317.000"
"11.704","256.000","11.704","320.000","11.704","259.000","11.704","216.000"
"11.708","248.000","11.708","279.000","11.708","266.000","11.708","162.000"
"11.712","244.000","11.712","258.000","11.712","270.000","11.712","148.000"
