"Ion 119.00 (118.70 to 119.70): MA_Population_31-3.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_31-3.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_31-3.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_31-3.D\data.ms",""
"11.625","342.000","11.625","648.000","11.625","378.000","11.625","159.000"
"11.629","356.000","11.629","541.000","11.629","348.000","11.629","156.000"
"11.634","388.000","11.634","448.000","11.634","313.000","11.634","153.000"
"11.638","442.000","11.638","417.000","11.638","303.000","11.638","157.000"
"11.642","541.000","11.642","415.000","11.642","299.000","11.642","163.000"
"11.647","652.000","11.647","490.000","11.647","298.000","11.647","178.000"
"11.651","727.000","11.651","611.000","11.651","317.000","11.651","232.000"
"11.655","782.000","11.655","815.000","11.655","339.000","11.655","344.000"
"11.660","805.000","11.660","1126.000","11.660","377.000","11.660","518.000"
"11.664","797.000","11.664","1380.000","11.664","415.000","11.664","716.000"
"11.669","762.000","11.669","1508.000","11.669","448.000","11.669","871.000"
"11.673","690.000","11.673","1415.000","11.673","473.000","11.673","902.000"
"11.677","597.000","11.677","1184.000","11.677","455.000","11.677","776.000"
"11.682","508.000","11.682","884.000","11.682","411.000","11.682","608.000"
"11.686","439.000","11.686","651.000","11.686","381.000","11.686","405.000"
"11.690","394.000","11.690","506.000","11.690","366.000","11.690","299.000"
"11.695","358.000","11.695","435.000","11.695","350.000","11.695","217.000"
"11.699","340.000","11.699","409.000","11.699","345.000","11.699","186.000"
"11.704","344.000","11.704","398.000","11.704","338.000","11.704","168.000"
"11.708","334.000","11.708","378.000","11.708","333.000","11.708","167.000"
"11.712","332.000","11.712","382.000","11.712","333.000","11.712","168.000"
