"Ion 119.00 (118.70 to 119.70): MA_Population_69-3.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_69-3.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_69-3.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_69-3.D\data.ms",""
"11.625","295.000","11.625","247.000","11.625","226.000","11.625","268.000"
"11.629","288.000","11.629","236.000","11.629","220.000","11.629","229.000"
"11.634","274.000","11.634","241.000","11.634","213.000","11.634","180.000"
"11.638","294.000","11.638","238.000","11.638","208.000","11.638","151.000"
"11.642","324.000","11.642","249.000","11.642","208.000","11.642","138.000"
"11.647","375.000","11.647","256.000","11.647","203.000","11.647","126.000"
"11.651","441.000","11.651","269.000","11.651","209.000","11.651","130.000"
"11.656","517.000","11.656","297.000","11.656","209.000","11.656","135.000"
"11.660","541.000","11.660","335.000","11.660","212.000","11.660","149.000"
"11.664","519.000","11.664","368.000","11.664","227.000","11.664","166.000"
"11.669","479.000","11.669","433.000","11.669","219.000","11.669","204.000"
"11.673","420.000","11.673","497.000","11.673","232.000","11.673","258.000"
"11.677","378.000","11.677","547.000","11.677","225.000","11.677","315.000"
"11.682","343.000","11.682","566.000","11.682","229.000","11.682","332.000"
"11.686","336.000","11.686","500.000","11.686","230.000","11.686","318.000"
"11.690","320.000","11.690","420.000","11.690","225.000","11.690","271.000"
"11.695","299.000","11.695","348.000","11.695","236.000","11.695","224.000"
"11.699","308.000","11.699","302.000","11.699","229.000","11.699","186.000"
"11.704","296.000","11.704","284.000","11.704","231.000","11.704","157.000"
"11.708","287.000","11.708","264.000","11.708","239.000","11.708","147.000"
"11.712","281.000","11.712","261.000","11.712","237.000","11.712","141.000"
