"Ion 119.00 (118.70 to 119.70): MA_Population_19-3.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_19-3.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_19-3.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_19-3.D\data.ms",""
"11.625","310.000","11.625","400.000","11.625","345.000","11.625","154.000"
"11.629","302.000","11.629","397.000","11.629","344.000","11.629","157.000"
"11.634","300.000","11.634","403.000","11.634","358.000","11.634","155.000"
"11.638","315.000","11.638","407.000","11.638","364.000","11.638","157.000"
"11.642","314.000","11.642","432.000","11.642","367.000","11.642","163.000"
"11.647","332.000","11.647","492.000","11.647","363.000","11.647","186.000"
"11.651","355.000","11.651","626.000","11.651","391.000","11.651","246.000"
"11.655","402.000","11.655","819.000","11.655","425.000","11.655","360.000"
"11.660","461.000","11.660","1072.000","11.660","463.000","11.660","510.000"
"11.664","508.000","11.664","1292.000","11.664","518.000","11.664","692.000"
"11.669","544.000","11.669","1363.000","11.669","541.000","11.669","768.000"
"11.673","525.000","11.673","1247.000","11.673","563.000","11.673","750.000"
"11.677","474.000","11.677","1037.000","11.677","543.000","11.677","635.000"
"11.682","429.000","11.682","792.000","11.682","513.000","11.682","477.000"
"11.686","376.000","11.686","625.000","11.686","485.000","11.686","338.000"
"11.690","348.000","11.690","546.000","11.690","467.000","11.690","248.000"
"11.695","335.000","11.695","497.000","11.695","473.000","11.695","206.000"
"11.699","331.000","11.699","480.000","11.699","460.000","11.699","185.000"
"11.704","319.000","11.704","467.000","11.704","458.000","11.704","173.000"
"11.708","320.000","11.708","473.000","11.708","449.000","11.708","169.000"
"11.712","315.000","11.712","467.000","11.712","466.000","11.712","167.000"
