"Ion 119.00 (118.70 to 119.70): MA_Population_10-3-2.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_10-3-2.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_10-3-2.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_10-3-2.D\data.ms",""
"11.625","338.000","11.625","1037.000","11.625","340.000","11.625","157.000"
"11.629","328.000","11.629","781.000","11.629","337.000","11.629","162.000"
"11.634","341.000","11.634","608.000","11.634","329.000","11.634","157.000"
"11.638","339.000","11.638","502.000","11.638","343.000","11.638","166.000"
"11.642","362.000","11.642","490.000","11.642","347.000","11.642","176.000"
"11.647","400.000","11.647","568.000","11.647","374.000","11.647","213.000"
"11.651","493.000","11.651","726.000","11.651","410.000","11.651","288.000"
"11.655","631.000","11.655","966.000","11.655","487.000","11.655","420.000"
"11.660","804.000","11.660","1255.000","11.660","563.000","11.660","620.000"
"11.664","928.000","11.664","1461.000","11.664","682.000","11.664","778.000"
"11.669","966.000","11.669","1488.000","11.669","738.000","11.669","847.000"
"11.673","899.000","11.673","1293.000","11.673","726.000","11.673","795.000"
"11.677","758.000","11.677","1034.000","11.677","655.000","11.677","628.000"
"11.682","635.000","11.682","789.000","11.682","564.000","11.682","458.000"
"11.686","533.000","11.686","634.000","11.686","503.000","11.686","324.000"
"11.690","463.000","11.690","540.000","11.690","441.000","11.690","232.000"
"11.695","444.000","11.695","519.000","11.695","427.000","11.695","197.000"
"11.699","419.000","11.699","506.000","11.699","423.000","11.699","185.000"
"11.704","403.000","11.704","508.000","11.704","417.000","11.704","173.000"
"11.708","386.000","11.708","489.000","11.708","425.000","11.708","176.000"
"11.712","385.000","11.712","496.000","11.712","432.000","11.712","170.000"
