"Ion 119.00 (118.70 to 119.70): MA_Population_34-3.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_34-3.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_34-3.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_34-3.D\data.ms",""
"11.625","287.000","11.625","450.000","11.625","325.000","11.625","133.000"
"11.629","290.000","11.629","409.000","11.629","312.000","11.629","135.000"
"11.634","317.000","11.634","363.000","11.634","309.000","11.634","137.000"
"11.638","345.000","11.638","353.000","11.638","300.000","11.638","131.000"
"11.643","395.000","11.643","350.000","11.643","300.000","11.643","134.000"
"11.647","445.000","11.647","391.000","11.647","304.000","11.647","158.000"
"11.651","480.000","11.651","479.000","11.651","306.000","11.651","190.000"
"11.656","488.000","11.656","634.000","11.656","325.000","11.656","272.000"
"11.660","475.000","11.660","858.000","11.660","335.000","11.660","406.000"
"11.664","458.000","11.664","1055.000","11.664","353.000","11.664","553.000"
"11.669","431.000","11.669","1179.000","11.669","361.000","11.669","690.000"
"11.673","405.000","11.673","1137.000","11.673","374.000","11.673","717.000"
"11.678","364.000","11.678","956.000","11.678","373.000","11.678","636.000"
"11.682","336.000","11.682","727.000","11.682","373.000","11.682","481.000"
"11.686","327.000","11.686","543.000","11.686","371.000","11.686","328.000"
"11.691","312.000","11.691","439.000","11.691","371.000","11.691","239.000"
"11.695","299.000","11.695","393.000","11.695","373.000","11.695","189.000"
"11.699","298.000","11.699","368.000","11.699","392.000","11.699","168.000"
"11.704","288.000","11.704","360.000","11.704","389.000","11.704","154.000"
"11.708","289.000","11.708","366.000","11.708","379.000","11.708","156.000"
"11.713","286.000","11.713","358.000","11.713","375.000","11.713","148.000"
