"Ion 119.00 (118.70 to 119.70): MA_Population_15-3.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_15-3.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_15-3.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_15-3.D\data.ms",""
"11.625","196.000","11.625","184.000","11.625","204.000","11.625","106.000"
"11.630","196.000","11.630","182.000","11.630","211.000","11.630","103.000"
"11.634","200.000","11.634","186.000","11.634","217.000","11.634","109.000"
"11.638","196.000","11.638","189.000","11.638","223.000","11.638","105.000"
"11.643","200.000","11.643","190.000","11.643","220.000","11.643","115.000"
"11.647","205.000","11.647","202.000","11.647","222.000","11.647","117.000"
"11.651","202.000","11.651","240.000","11.651","229.000","11.651","128.000"
"11.656","201.000","11.656","283.000","11.656","226.000","11.656","158.000"
"11.660","204.000","11.660","354.000","11.660","235.000","11.660","191.000"
"11.664","206.000","11.664","384.000","11.664","238.000","11.664","228.000"
"11.669","210.000","11.669","387.000","11.669","235.000","11.669","244.000"
"11.673","205.000","11.673","350.000","11.673","248.000","11.673","228.000"
"11.678","210.000","11.678","309.000","11.678","247.000","11.678","205.000"
"11.682","209.000","11.682","257.000","11.682","249.000","11.682","171.000"
"11.686","204.000","11.686","240.000","11.686","255.000","11.686","146.000"
"11.691","200.000","11.691","219.000","11.691","254.000","11.691","130.000"
"11.695","201.000","11.695","205.000","11.695","254.000","11.695","114.000"
"11.699","202.000","11.699","201.000","11.699","253.000","11.699","118.000"
"11.704","206.000","11.704","204.000","11.704","263.000","11.704","116.000"
"11.708","208.000","11.708","200.000","11.708","260.000","11.708","112.000"
"11.713","203.000","11.713","203.000","11.713","267.000","11.713","114.000"
