"Ion 119.00 (118.70 to 119.70): MA_Population_67-2.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_67-2.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_67-2.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_67-2.D\data.ms",""
"11.625","260.000","11.625","238.000","11.625","238.000","11.625","285.000"
"11.629","246.000","11.629","226.000","11.629","217.000","11.629","231.000"
"11.634","249.000","11.634","235.000","11.634","225.000","11.634","190.000"
"11.638","253.000","11.638","221.000","11.638","205.000","11.638","154.000"
"11.643","255.000","11.643","228.000","11.643","206.000","11.643","139.000"
"11.647","259.000","11.647","234.000","11.647","213.000","11.647","127.000"
"11.651","276.000","11.651","256.000","11.651","216.000","11.651","132.000"
"11.656","288.000","11.656","292.000","11.656","211.000","11.656","153.000"
"11.660","300.000","11.660","397.000","11.660","217.000","11.660","196.000"
"11.664","304.000","11.664","601.000","11.664","225.000","11.664","298.000"
"11.669","296.000","11.669","895.000","11.669","233.000","11.669","455.000"
"11.673","306.000","11.673","1194.000","11.673","244.000","11.673","663.000"
"11.678","294.000","11.678","1401.000","11.678","247.000","11.678","846.000"
"11.682","290.000","11.682","1403.000","11.682","255.000","11.682","913.000"
"11.686","285.000","11.686","1189.000","11.686","255.000","11.686","856.000"
"11.691","271.000","11.691","902.000","11.691","255.000","11.691","673.000"
"11.695","259.000","11.695","593.000","11.695","254.000","11.695","447.000"
"11.699","251.000","11.699","397.000","11.699","258.000","11.699","290.000"
"11.704","244.000","11.704","306.000","11.704","255.000","11.704","206.000"
"11.708","253.000","11.708","269.000","11.708","248.000","11.708","161.000"
"11.713","254.000","11.713","253.000","11.713","263.000","11.713","143.000"
