"Ion 119.00 (118.70 to 119.70): MA_Population_70-2.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_70-2.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_70-2.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_70-2.D\data.ms",""
"11.625","346.000","11.625","305.000","11.625","266.000","11.625","369.000"
"11.629","335.000","11.629","298.000","11.629","260.000","11.629","290.000"
"11.634","326.000","11.634","294.000","11.634","255.000","11.634","226.000"
"11.638","333.000","11.638","278.000","11.638","242.000","11.638","180.000"
"11.642","332.000","11.642","290.000","11.642","245.000","11.642","162.000"
"11.647","351.000","11.647","301.000","11.647","236.000","11.647","156.000"
"11.651","374.000","11.651","308.000","11.651","241.000","11.651","165.000"
"11.655","398.000","11.655","397.000","11.655","242.000","11.655","179.000"
"11.660","402.000","11.660","546.000","11.660","254.000","11.660","259.000"
"11.664","434.000","11.664","895.000","11.664","254.000","11.664","426.000"
"11.669","445.000","11.669","1375.000","11.669","264.000","11.669","708.000"
"11.673","424.000","11.673","1925.000","11.673","281.000","11.673","1076.000"
"11.677","434.000","11.677","2349.000","11.677","292.000","11.677","1442.000"
"11.682","410.000","11.682","2341.000","11.682","299.000","11.682","1580.000"
"11.686","398.000","11.686","2038.000","11.686","305.000","11.686","1463.000"
"11.690","385.000","11.690","1501.000","11.690","290.000","11.690","1156.000"
"11.695","370.000","11.695","940.000","11.695","291.000","11.695","768.000"
"11.699","354.000","11.699","595.000","11.699","271.000","11.699","458.000"
"11.704","343.000","11.704","400.000","11.704","268.000","11.704","292.000"
"11.708","335.000","11.708","339.000","11.708","255.000","11.708","203.000"
"11.712","338.000","11.712","310.000","11.712","261.000","11.712","180.000"
