"Ion 119.00 (118.70 to 119.70): MA_Population_38-2.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_38-2.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_38-2.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_38-2.D\data.ms",""
"11.625","817.000","11.625","758.000","11.625","565.000","11.625","416.000"
"11.629","794.000","11.629","739.000","11.629","571.000","11.629","366.000"
"11.634","789.000","11.634","707.000","11.634","554.000","11.634","318.000"
"11.638","809.000","11.638","705.000","11.638","564.000","11.638","300.000"
"11.642","807.000","11.642","722.000","11.642","571.000","11.642","303.000"
"11.647","860.000","11.647","764.000","11.647","595.000","11.647","316.000"
"11.651","936.000","11.651","860.000","11.651","604.000","11.651","344.000"
"11.656","1079.000","11.656","1035.000","11.656","686.000","11.656","420.000"
"11.660","1349.000","11.660","1391.000","11.660","843.000","11.660","608.000"
"11.664","1737.000","11.664","1865.000","11.664","1065.000","11.664","876.000"
"11.669","2171.000","11.669","2266.000","11.669","1379.000","11.669","1208.000"
"11.673","2424.000","11.673","2530.000","11.673","1599.000","11.673","1443.000"
"11.677","2299.000","11.677","2373.000","11.677","1635.000","11.677","1447.000"
"11.682","2022.000","11.682","1959.000","11.682","1548.000","11.682","1254.000"
"11.686","1574.000","11.686","1510.000","11.686","1293.000","11.686","961.000"
"11.690","1187.000","11.690","1093.000","11.690","1033.000","11.690","655.000"
"11.695","986.000","11.695","906.000","11.695","824.000","11.695","478.000"
"11.699","873.000","11.699","820.000","11.699","750.000","11.699","383.000"
"11.704","825.000","11.704","777.000","11.704","705.000","11.704","339.000"
"11.708","814.000","11.708","775.000","11.708","681.000","11.708","334.000"
"11.712","815.000","11.712","762.000","11.712","706.000","11.712","319.000"
