"Ion 119.00 (118.70 to 119.70): MA_Population_66-2.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_66-2.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_66-2.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_66-2.D\data.ms",""
"11.625","317.000","11.625","331.000","11.625","241.000","11.625","253.000"
"11.629","314.000","11.629","323.000","11.629","228.000","11.629","217.000"
"11.634","312.000","11.634","301.000","11.634","238.000","11.634","186.000"
"11.638","319.000","11.638","290.000","11.638","232.000","11.638","165.000"
"11.642","320.000","11.642","263.000","11.642","240.000","11.642","148.000"
"11.647","331.000","11.647","268.000","11.647","229.000","11.647","146.000"
"11.651","359.000","11.651","278.000","11.651","235.000","11.651","144.000"
"11.656","376.000","11.656","321.000","11.656","229.000","11.656","162.000"
"11.660","402.000","11.660","425.000","11.660","242.000","11.660","211.000"
"11.664","415.000","11.664","620.000","11.664","247.000","11.664","319.000"
"11.669","432.000","11.669","893.000","11.669","264.000","11.669","470.000"
"11.673","435.000","11.673","1175.000","11.673","299.000","11.673","685.000"
"11.677","426.000","11.677","1353.000","11.677","312.000","11.677","856.000"
"11.682","416.000","11.682","1383.000","11.682","316.000","11.682","917.000"
"11.686","404.000","11.686","1197.000","11.686","312.000","11.686","822.000"
"11.691","362.000","11.691","873.000","11.691","303.000","11.691","655.000"
"11.695","346.000","11.695","579.000","11.695","292.000","11.695","432.000"
"11.699","332.000","11.699","413.000","11.699","282.000","11.699","291.000"
"11.704","319.000","11.704","331.000","11.704","277.000","11.704","213.000"
"11.708","311.000","11.708","302.000","11.708","273.000","11.708","178.000"
"11.712","306.000","11.712","284.000","11.712","274.000","11.712","155.000"
