"Ion 119.00 (118.70 to 119.70): MA_Population_68-2.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_68-2.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_68-2.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_68-2.D\data.ms",""
"11.625","374.000","11.625","530.000","11.625","332.000","11.625","354.000"
"11.629","381.000","11.629","507.000","11.629","310.000","11.629","288.000"
"11.634","377.000","11.634","454.000","11.634","294.000","11.634","239.000"
"11.638","395.000","11.638","400.000","11.638","305.000","11.638","205.000"
"11.643","455.000","11.643","382.000","11.643","304.000","11.643","180.000"
"11.647","572.000","11.647","391.000","11.647","296.000","11.647","185.000"
"11.651","744.000","11.651","437.000","11.651","306.000","11.651","188.000"
"11.656","868.000","11.656","479.000","11.656","323.000","11.656","200.000"
"11.660","969.000","11.660","621.000","11.660","343.000","11.660","253.000"
"11.664","1056.000","11.664","845.000","11.664","412.000","11.664","363.000"
"11.669","1165.000","11.669","1152.000","11.669","541.000","11.669","552.000"
"11.673","1262.000","11.673","1464.000","11.673","694.000","11.673","792.000"
"11.678","1328.000","11.678","1648.000","11.678","823.000","11.678","970.000"
"11.682","1324.000","11.682","1652.000","11.682","932.000","11.682","1048.000"
"11.686","1148.000","11.686","1376.000","11.686","880.000","11.686","966.000"
"11.691","894.000","11.691","1007.000","11.691","741.000","11.691","733.000"
"11.695","702.000","11.695","717.000","11.695","590.000","11.695","531.000"
"11.699","531.000","11.699","537.000","11.699","466.000","11.699","353.000"
"11.704","455.000","11.704","447.000","11.704","406.000","11.704","260.000"
"11.708","411.000","11.708","399.000","11.708","370.000","11.708","222.000"
"11.712","387.000","11.712","396.000","11.712","369.000","11.712","210.000"
