"Ion 119.00 (118.70 to 119.70): MA_Population_41-2.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_41-2.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_41-2.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_41-2.D\data.ms",""
"11.628","406.000","11.628","518.000","11.628","353.000","11.628","275.000"
"11.633","403.000","11.633","464.000","11.633","357.000","11.633","237.000"
"11.637","395.000","11.637","413.000","11.637","355.000","11.637","203.000"
"11.641","410.000","11.641","401.000","11.641","355.000","11.641","196.000"
"11.646","414.000","11.646","396.000","11.646","356.000","11.646","202.000"
"11.650","437.000","11.650","440.000","11.650","374.000","11.650","212.000"
"11.654","464.000","11.654","565.000","11.654","384.000","11.654","276.000"
"11.659","521.000","11.659","802.000","11.659","410.000","11.659","391.000"
"11.663","609.000","11.663","1156.000","11.663","470.000","11.663","591.000"
"11.668","667.000","11.668","1480.000","11.668","528.000","11.668","804.000"
"11.672","704.000","11.672","1637.000","11.672","564.000","11.672","975.000"
"11.676","691.000","11.676","1620.000","11.676","596.000","11.676","1026.000"
"11.681","667.000","11.681","1383.000","11.681","580.000","11.681","932.000"
"11.685","574.000","11.685","1057.000","11.685","573.000","11.685","747.000"
"11.689","499.000","11.689","751.000","11.689","498.000","11.689","514.000"
"11.694","451.000","11.694","562.000","11.694","478.000","11.694","353.000"
"11.698","425.000","11.698","471.000","11.698","455.000","11.698","270.000"
"11.703","433.000","11.703","424.000","11.703","462.000","11.703","225.000"
"11.707","409.000","11.707","430.000","11.707","457.000","11.707","221.000"
"11.711","397.000","11.711","413.000","11.711","439.000","11.711","211.000"
