"Ion 119.00 (118.70 to 119.70): MA_Population_60-2.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_60-2.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_60-2.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_60-2.D\data.ms",""
"11.625","296.000","11.625","264.000","11.625","235.000","11.625","227.000"
"11.629","291.000","11.629","256.000","11.629","229.000","11.629","195.000"
"11.634","291.000","11.634","252.000","11.634","223.000","11.634","162.000"
"11.638","287.000","11.638","257.000","11.638","218.000","11.638","143.000"
"11.643","301.000","11.643","245.000","11.643","220.000","11.643","139.000"
"11.647","304.000","11.647","265.000","11.647","224.000","11.647","141.000"
"11.651","317.000","11.651","278.000","11.651","218.000","11.651","141.000"
"11.656","328.000","11.656","325.000","11.656","226.000","11.656","164.000"
"11.660","335.000","11.660","417.000","11.660","228.000","11.660","202.000"
"11.664","338.000","11.664","579.000","11.664","230.000","11.664","287.000"
"11.669","343.000","11.669","785.000","11.669","236.000","11.669","427.000"
"11.673","336.000","11.673","984.000","11.673","243.000","11.673","558.000"
"11.678","340.000","11.678","1045.000","11.678","249.000","11.678","638.000"
"11.682","327.000","11.682","923.000","11.682","248.000","11.682","621.000"
"11.686","318.000","11.686","762.000","11.686","247.000","11.686","529.000"
"11.691","294.000","11.691","566.000","11.691","242.000","11.691","395.000"
"11.695","291.000","11.695","431.000","11.695","231.000","11.695","285.000"
"11.699","288.000","11.699","329.000","11.699","242.000","11.699","207.000"
"11.704","286.000","11.704","295.000","11.704","229.000","11.704","165.000"
"11.708","285.000","11.708","280.000","11.708","233.000","11.708","151.000"
"11.713","282.000","11.713","276.000","11.713","242.000","11.713","146.000"
