"Ion 119.00 (118.70 to 119.70): MA_Population_23-2.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_23-2.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_23-2.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_23-2.D\data.ms",""
"11.625","225.000","11.625","221.000","11.625","229.000","11.625","117.000"
"11.629","223.000","11.629","214.000","11.629","220.000","11.629","116.000"
"11.634","226.000","11.634","217.000","11.634","212.000","11.634","119.000"
"11.638","230.000","11.638","217.000","11.638","209.000","11.638","114.000"
"11.642","230.000","11.642","226.000","11.642","215.000","11.642","119.000"
"11.647","226.000","11.647","248.000","11.647","218.000","11.647","138.000"
"11.651","236.000","11.651","316.000","11.651","216.000","11.651","158.000"
"11.656","240.000","11.656","413.000","11.656","225.000","11.656","219.000"
"11.660","241.000","11.660","518.000","11.660","227.000","11.660","287.000"
"11.664","238.000","11.664","615.000","11.664","224.000","11.664","351.000"
"11.669","243.000","11.669","626.000","11.669","232.000","11.669","393.000"
"11.673","243.000","11.673","594.000","11.673","228.000","11.673","383.000"
"11.677","239.000","11.677","501.000","11.677","239.000","11.677","338.000"
"11.682","234.000","11.682","398.000","11.682","240.000","11.682","270.000"
"11.686","234.000","11.686","323.000","11.686","240.000","11.686","210.000"
"11.691","233.000","11.691","274.000","11.691","241.000","11.691","168.000"
"11.695","234.000","11.695","252.000","11.695","249.000","11.695","151.000"
"11.699","236.000","11.699","245.000","11.699","247.000","11.699","132.000"
"11.704","237.000","11.704","239.000","11.704","247.000","11.704","135.000"
"11.708","232.000","11.708","248.000","11.708","248.000","11.708","129.000"
"11.712","235.000","11.712","239.000","11.712","248.000","11.712","126.000"
