"Ion 119.00 (118.70 to 119.70): MA_Population_71-2.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_71-2.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_71-2.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_71-2.D\data.ms",""
"11.625","351.000","11.625","339.000","11.625","289.000","11.625","337.000"
"11.629","348.000","11.629","326.000","11.629","289.000","11.629","295.000"
"11.634","334.000","11.634","327.000","11.634","280.000","11.634","234.000"
"11.638","351.000","11.638","320.000","11.638","287.000","11.638","205.000"
"11.642","348.000","11.642","309.000","11.642","277.000","11.642","178.000"
"11.647","370.000","11.647","326.000","11.647","275.000","11.647","174.000"
"11.651","411.000","11.651","338.000","11.651","280.000","11.651","177.000"
"11.656","447.000","11.656","394.000","11.656","281.000","11.656","197.000"
"11.660","466.000","11.660","483.000","11.660","289.000","11.660","223.000"
"11.664","468.000","11.664","660.000","11.664","293.000","11.664","321.000"
"11.669","468.000","11.669","972.000","11.669","303.000","11.669","480.000"
"11.673","468.000","11.673","1275.000","11.673","335.000","11.673","710.000"
"11.677","456.000","11.677","1491.000","11.677","333.000","11.677","888.000"
"11.682","454.000","11.682","1557.000","11.682","347.000","11.682","997.000"
"11.686","424.000","11.686","1347.000","11.686","373.000","11.686","950.000"
"11.691","408.000","11.691","1031.000","11.691","345.000","11.691","755.000"
"11.695","384.000","11.695","734.000","11.695","331.000","11.695","547.000"
"11.699","361.000","11.699","523.000","11.699","320.000","11.699","365.000"
"11.704","355.000","11.704","407.000","11.704","311.000","11.704","253.000"
"11.708","340.000","11.708","359.000","11.708","309.000","11.708","206.000"
"11.712","346.000","11.712","351.000","11.712","305.000","11.712","189.000"
