"Ion 119.00 (118.70 to 119.70): MA_Population_61-2.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_61-2.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_61-2.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_61-2.D\data.ms",""
"11.625","930.000","11.625","822.000","11.625","747.000","11.625","518.000"
"11.629","915.000","11.629","794.000","11.629","746.000","11.629","504.000"
"11.634","910.000","11.634","795.000","11.634","739.000","11.634","472.000"
"11.638","946.000","11.638","810.000","11.638","760.000","11.638","479.000"
"11.642","931.000","11.642","825.000","11.642","761.000","11.642","455.000"
"11.647","951.000","11.647","814.000","11.647","775.000","11.647","463.000"
"11.651","962.000","11.651","842.000","11.651","766.000","11.651","460.000"
"11.655","957.000","11.655","838.000","11.655","788.000","11.655","471.000"
"11.660","966.000","11.660","898.000","11.660","777.000","11.660","497.000"
"11.664","973.000","11.664","1012.000","11.664","770.000","11.664","546.000"
"11.669","987.000","11.669","1157.000","11.669","787.000","11.669","631.000"
"11.673","983.000","11.673","1338.000","11.673","804.000","11.673","763.000"
"11.677","959.000","11.677","1419.000","11.677","784.000","11.677","835.000"
"11.682","967.000","11.682","1416.000","11.682","791.000","11.682","875.000"
"11.686","976.000","11.686","1338.000","11.686","794.000","11.686","844.000"
"11.690","971.000","11.690","1158.000","11.690","820.000","11.690","758.000"
"11.695","947.000","11.695","1024.000","11.695","812.000","11.695","632.000"
"11.699","949.000","11.699","919.000","11.699","822.000","11.699","561.000"
"11.704","949.000","11.704","874.000","11.704","808.000","11.704","498.000"
"11.708","944.000","11.708","841.000","11.708","820.000","11.708","481.000"
"11.712","957.000","11.712","866.000","11.712","840.000","11.712","490.000"
