"Ion 119.00 (118.70 to 119.70): MA_Population_7-2.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_7-2.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_7-2.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_7-2.D\data.ms",""
"11.625","744.000","11.625","604.000","11.625","752.000","11.625","188.000"
"11.629","764.000","11.629","580.000","11.629","759.000","11.629","182.000"
"11.634","762.000","11.634","555.000","11.634","762.000","11.634","182.000"
"11.638","756.000","11.638","577.000","11.638","819.000","11.638","206.000"
"11.642","782.000","11.642","671.000","11.642","865.000","11.642","229.000"
"11.647","798.000","11.647","846.000","11.647","863.000","11.647","323.000"
"11.651","852.000","11.651","1191.000","11.651","923.000","11.651","495.000"
"11.656","932.000","11.656","1729.000","11.656","968.000","11.656","772.000"
"11.660","985.000","11.660","2285.000","11.660","1028.000","11.660","1155.000"
"11.664","984.000","11.664","2599.000","11.664","1067.000","11.664","1477.000"
"11.669","980.000","11.669","2638.000","11.669","1149.000","11.669","1560.000"
"11.673","907.000","11.673","2218.000","11.673","1171.000","11.673","1415.000"
"11.677","811.000","11.677","1688.000","11.677","1168.000","11.677","1094.000"
"11.682","732.000","11.682","1213.000","11.682","1140.000","11.682","722.000"
"11.686","672.000","11.686","883.000","11.686","1097.000","11.686","464.000"
"11.690","631.000","11.690","751.000","11.690","1155.000","11.690","325.000"
"11.695","624.000","11.695","702.000","11.695","1170.000","11.695","254.000"
"11.699","613.000","11.699","712.000","11.699","1181.000","11.699","241.000"
"11.704","600.000","11.704","682.000","11.704","1154.000","11.704","233.000"
"11.708","572.000","11.708","676.000","11.708","1201.000","11.708","225.000"
"11.712","576.000","11.712","660.000","11.712","1126.000","11.712","221.000"
