"Ion 119.00 (118.70 to 119.70): MA_Population_22-2.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_22-2.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_22-2.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_22-2.D\data.ms",""
"11.625","271.000","11.625","325.000","11.625","277.000","11.625","143.000"
"11.629","281.000","11.629","317.000","11.629","281.000","11.629","136.000"
"11.634","271.000","11.634","317.000","11.634","285.000","11.634","142.000"
"11.638","274.000","11.638","333.000","11.638","282.000","11.638","140.000"
"11.642","285.000","11.642","337.000","11.642","292.000","11.642","145.000"
"11.647","297.000","11.647","384.000","11.647","301.000","11.647","171.000"
"11.651","314.000","11.651","483.000","11.651","296.000","11.651","212.000"
"11.656","340.000","11.656","635.000","11.656","315.000","11.656","298.000"
"11.660","362.000","11.660","796.000","11.660","342.000","11.660","401.000"
"11.664","391.000","11.664","926.000","11.664","367.000","11.664","502.000"
"11.669","391.000","11.669","944.000","11.669","371.000","11.669","561.000"
"11.673","394.000","11.673","889.000","11.673","391.000","11.673","554.000"
"11.677","375.000","11.677","729.000","11.677","373.000","11.677","471.000"
"11.682","338.000","11.682","590.000","11.682","368.000","11.682","363.000"
"11.686","324.000","11.686","459.000","11.686","353.000","11.686","264.000"
"11.691","306.000","11.691","406.000","11.691","339.000","11.691","209.000"
"11.695","300.000","11.695","373.000","11.695","339.000","11.695","173.000"
"11.699","295.000","11.699","355.000","11.699","333.000","11.699","159.000"
"11.704","293.000","11.704","359.000","11.704","346.000","11.704","151.000"
"11.708","283.000","11.708","357.000","11.708","344.000","11.708","146.000"
"11.712","290.000","11.712","353.000","11.712","352.000","11.712","147.000"
