Sample 13-2,,,,
RT,ion 119,ion 125,ion 151,ion 157
11.625,378,522,464,209
11.629,383,509,453,203
11.634,375,520,462,199
11.638,389,516,467,205
11.643,407,541,466,211
11.647,420,582,498,224
11.651,462,653,510,268
11.656,531,772,542,330
11.66,610,932,586,416
11.664,662,1040,649,517
11.669,679,1033,642,552
11.673,669,962,674,521
11.677,600,846,644,457
11.682,551,718,594,357
11.686,507,641,591,289
11.691,482,599,582,250
11.695,459,600,604,239
11.699,447,592,582,215
11.704,432,585,576,213
11.708,439,591,585,216
11.712,427,586,591,219
