"Ion 119.00 (118.70 to 119.70): MA_Population_35-2.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_35-2.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_35-2.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_35-2.D\data.ms",""
"11.625","210.000","11.625","221.000","11.625","227.000","11.625","138.000"
"11.629","213.000","11.629","219.000","11.629","216.000","11.629","125.000"
"11.634","213.000","11.634","216.000","11.634","212.000","11.634","117.000"
"11.638","223.000","11.638","215.000","11.638","204.000","11.638","110.000"
"11.643","241.000","11.643","234.000","11.643","211.000","11.643","112.000"
"11.647","255.000","11.647","273.000","11.647","212.000","11.647","128.000"
"11.651","272.000","11.651","363.000","11.651","226.000","11.651","165.000"
"11.656","287.000","11.656","516.000","11.656","237.000","11.656","246.000"
"11.660","307.000","11.660","729.000","11.660","256.000","11.660","374.000"
"11.664","326.000","11.664","939.000","11.664","269.000","11.664","534.000"
"11.669","335.000","11.669","1038.000","11.669","289.000","11.669","628.000"
"11.673","320.000","11.673","1009.000","11.673","297.000","11.673","660.000"
"11.678","291.000","11.678","811.000","11.678","298.000","11.678","588.000"
"11.682","265.000","11.682","613.000","11.682","290.000","11.682","447.000"
"11.686","242.000","11.686","434.000","11.686","280.000","11.686","307.000"
"11.691","229.000","11.691","326.000","11.691","264.000","11.691","208.000"
"11.695","216.000","11.695","275.000","11.695","255.000","11.695","157.000"
"11.699","209.000","11.699","252.000","11.699","255.000","11.699","133.000"
"11.704","211.000","11.704","253.000","11.704","253.000","11.704","125.000"
"11.708","205.000","11.708","248.000","11.708","258.000","11.708","124.000"
"11.713","214.000","11.713","249.000","11.713","270.000","11.713","122.000"
