"Ion 119.00 (118.70 to 119.70): MA_Population_17-2.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_17-2.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_17-2.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_17-2.D\data.ms",""
"11.625","370.000","11.625","531.000","11.625","398.000","11.625","200.000"
"11.629","369.000","11.629","491.000","11.629","399.000","11.629","198.000"
"11.634","377.000","11.634","461.000","11.634","397.000","11.634","193.000"
"11.638","382.000","11.638","457.000","11.638","410.000","11.638","201.000"
"11.642","388.000","11.642","469.000","11.642","389.000","11.642","203.000"
"11.647","422.000","11.647","542.000","11.647","396.000","11.647","233.000"
"11.651","453.000","11.651","705.000","11.651","412.000","11.651","303.000"
"11.655","479.000","11.655","959.000","11.655","422.000","11.655","439.000"
"11.660","478.000","11.660","1222.000","11.660","432.000","11.660","618.000"
"11.664","483.000","11.664","1457.000","11.664","427.000","11.664","812.000"
"11.669","472.000","11.669","1511.000","11.669","422.000","11.669","885.000"
"11.673","472.000","11.673","1400.000","11.673","445.000","11.673","888.000"
"11.677","456.000","11.677","1146.000","11.677","463.000","11.677","737.000"
"11.682","439.000","11.682","839.000","11.682","464.000","11.682","552.000"
"11.686","415.000","11.686","665.000","11.686","459.000","11.686","384.000"
"11.690","419.000","11.690","550.000","11.690","460.000","11.690","289.000"
"11.695","410.000","11.695","497.000","11.695","465.000","11.695","244.000"
"11.699","397.000","11.699","475.000","11.699","485.000","11.699","222.000"
"11.704","407.000","11.704","473.000","11.704","476.000","11.704","215.000"
"11.708","397.000","11.708","486.000","11.708","485.000","11.708","218.000"
"11.712","391.000","11.712","474.000","11.712","489.000","11.712","214.000"
