"Ion 119.00 (118.70 to 119.70): MA_Population_9-1.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_9-1.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_9-1.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_9-1.D\data.ms",""
"11.625","538.000","11.625","1514.000","11.625","568.000","11.625","257.000"
"11.629","530.000","11.629","1138.000","11.629","555.000","11.629","251.000"
"11.634","514.000","11.634","864.000","11.634","544.000","11.634","253.000"
"11.638","525.000","11.638","752.000","11.638","557.000","11.638","264.000"
"11.642","592.000","11.642","806.000","11.642","583.000","11.642","304.000"
"11.647","739.000","11.647","1080.000","11.647","655.000","11.647","437.000"
"11.651","1044.000","11.651","1582.000","11.651","808.000","11.651","701.000"
"11.656","1491.000","11.656","2346.000","11.656","1056.000","11.656","1129.000"
"11.660","1993.000","11.660","3131.000","11.660","1429.000","11.660","1667.000"
"11.664","2443.000","11.664","3705.000","11.664","1754.000","11.664","2145.000"
"11.669","2484.000","11.669","3724.000","11.669","1941.000","11.669","2363.000"
"11.673","2197.000","11.673","3116.000","11.673","1877.000","11.673","2148.000"
"11.677","1746.000","11.677","2303.000","11.677","1572.000","11.677","1631.000"
"11.682","1218.000","11.682","1541.000","11.682","1246.000","11.682","1096.000"
"11.686","901.000","11.686","1074.000","11.686","954.000","11.686","674.000"
"11.690","742.000","11.690","855.000","11.690","792.000","11.690","466.000"
"11.695","710.000","11.695","776.000","11.695","723.000","11.695","356.000"
"11.699","703.000","11.699","749.000","11.699","698.000","11.699","317.000"
"11.704","708.000","11.704","739.000","11.704","679.000","11.704","284.000"
"11.708","723.000","11.708","740.000","11.708","688.000","11.708","285.000"
"11.712","743.000","11.712","732.000","11.712","708.000","11.712","278.000"
