"Ion 119.00 (118.70 to 119.70): MA_Population_51-1.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_51-1.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_51-1.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_51-1.D\data.ms",""
"11.625","351.000","11.625","322.000","11.625","299.000","11.625","284.000"
"11.629","352.000","11.629","319.000","11.629","287.000","11.629","241.000"
"11.634","362.000","11.634","307.000","11.634","277.000","11.634","191.000"
"11.638","355.000","11.638","301.000","11.638","289.000","11.638","168.000"
"11.642","379.000","11.642","317.000","11.642","272.000","11.642","164.000"
"11.647","404.000","11.647","323.000","11.647","277.000","11.647","160.000"
"11.651","437.000","11.651","355.000","11.651","291.000","11.651","173.000"
"11.655","448.000","11.655","463.000","11.655","295.000","11.655","215.000"
"11.660","466.000","11.660","638.000","11.660","299.000","11.660","301.000"
"11.664","454.000","11.664","940.000","11.664","320.000","11.664","460.000"
"11.669","468.000","11.669","1195.000","11.669","333.000","11.669","676.000"
"11.673","472.000","11.673","1406.000","11.673","358.000","11.673","814.000"
"11.677","456.000","11.677","1433.000","11.677","371.000","11.677","917.000"
"11.682","427.000","11.682","1227.000","11.682","361.000","11.682","878.000"
"11.686","406.000","11.686","949.000","11.686","357.000","11.686","681.000"
"11.690","384.000","11.690","655.000","11.690","338.000","11.690","473.000"
"11.695","361.000","11.695","476.000","11.695","335.000","11.695","316.000"
"11.699","358.000","11.699","387.000","11.699","335.000","11.699","229.000"
"11.704","356.000","11.704","334.000","11.704","319.000","11.704","190.000"
"11.708","351.000","11.708","341.000","11.708","328.000","11.708","174.000"
"11.712","344.000","11.712","342.000","11.712","325.000","11.712","165.000"
