"Ion 119.00 (118.70 to 119.70): MA_Population_40-1.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_40-1.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_40-1.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_40-1.D\data.ms",""
"11.625","440.000","11.625","392.000","11.625","392.000","11.625","322.000"
"11.629","438.000","11.629","385.000","11.629","383.000","11.629","270.000"
"11.634","444.000","11.634","367.000","11.634","384.000","11.634","231.000"
"11.638","436.000","11.638","377.000","11.638","386.000","11.638","222.000"
"11.643","438.000","11.643","395.000","11.643","397.000","11.643","217.000"
"11.647","451.000","11.647","407.000","11.647","392.000","11.647","216.000"
"11.651","468.000","11.651","461.000","11.651","397.000","11.651","234.000"
"11.656","499.000","11.656","574.000","11.656","415.000","11.656","307.000"
"11.660","557.000","11.660","790.000","11.660","447.000","11.660","397.000"
"11.664","644.000","11.664","1046.000","11.664","507.000","11.664","572.000"
"11.669","706.000","11.669","1302.000","11.669","565.000","11.669","765.000"
"11.673","768.000","11.673","1389.000","11.673","618.000","11.673","872.000"
"11.678","747.000","11.678","1304.000","11.678","655.000","11.678","865.000"
"11.682","686.000","11.682","1068.000","11.682","605.000","11.682","756.000"
"11.686","592.000","11.686","841.000","11.686","570.000","11.686","581.000"
"11.691","527.000","11.691","634.000","11.691","537.000","11.691","424.000"
"11.695","480.000","11.695","522.000","11.695","492.000","11.695","330.000"
"11.699","454.000","11.699","442.000","11.699","486.000","11.699","253.000"
"11.704","450.000","11.704","432.000","11.704","458.000","11.704","234.000"
"11.708","433.000","11.708","434.000","11.708","479.000","11.708","214.000"
"11.712","438.000","11.712","436.000","11.712","467.000","11.712","227.000"
