"Ion 119.00 (118.70 to 119.70): MA_Population_44-1.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_44-1.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_44-1.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_44-1.D\data.ms",""
"11.625","609.000","11.625","1143.000","11.625","614.000","11.625","491.000"
"11.629","621.000","11.629","1038.000","11.629","606.000","11.629","410.000"
"11.634","617.000","11.634","906.000","11.634","601.000","11.634","355.000"
"11.638","618.000","11.638","782.000","11.638","600.000","11.638","306.000"
"11.642","615.000","11.642","740.000","11.642","615.000","11.642","310.000"
"11.647","671.000","11.647","763.000","11.647","620.000","11.647","309.000"
"11.651","725.000","11.651","866.000","11.651","640.000","11.651","359.000"
"11.656","821.000","11.656","1111.000","11.656","690.000","11.656","459.000"
"11.660","986.000","11.660","1514.000","11.660","783.000","11.660","675.000"
"11.664","1268.000","11.664","2076.000","11.664","935.000","11.664","995.000"
"11.669","1539.000","11.669","2586.000","11.669","1135.000","11.669","1386.000"
"11.673","1725.000","11.673","2939.000","11.673","1338.000","11.673","1701.000"
"11.677","1722.000","11.677","2788.000","11.677","1416.000","11.677","1744.000"
"11.682","1464.000","11.682","2281.000","11.682","1316.000","11.682","1530.000"
"11.686","1210.000","11.686","1726.000","11.686","1154.000","11.686","1122.000"
"11.690","960.000","11.690","1278.000","11.690","1009.000","11.690","794.000"
"11.695","793.000","11.695","1013.000","11.695","844.000","11.695","553.000"
"11.699","723.000","11.699","878.000","11.699","792.000","11.699","419.000"
"11.704","669.000","11.704","830.000","11.704","755.000","11.704","352.000"
"11.708","655.000","11.708","818.000","11.708","753.000","11.708","348.000"
"11.712","641.000","11.712","787.000","11.712","765.000","11.712","336.000"
