"Ion 119.00 (118.70 to 119.70): MA_Population_10-1.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_10-1.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_10-1.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_10-1.D\data.ms",""
"11.625","509.000","11.625","2578.000","11.625","648.000","11.625","225.000"
"11.629","496.000","11.629","1819.000","11.629","663.000","11.629","221.000"
"11.634","493.000","11.634","1174.000","11.634","670.000","11.634","220.000"
"11.638","493.000","11.638","872.000","11.638","672.000","11.638","227.000"
"11.642","526.000","11.642","798.000","11.642","693.000","11.642","249.000"
"11.647","611.000","11.647","918.000","11.647","743.000","11.647","326.000"
"11.651","791.000","11.651","1248.000","11.651","824.000","11.651","482.000"
"11.656","1072.000","11.656","1808.000","11.656","975.000","11.656","801.000"
"11.660","1394.000","11.660","2431.000","11.660","1177.000","11.660","1203.000"
"11.664","1699.000","11.664","2951.000","11.664","1417.000","11.664","1609.000"
"11.669","1823.000","11.669","2997.000","11.669","1587.000","11.669","1802.000"
"11.673","1712.000","11.673","2660.000","11.673","1594.000","11.673","1693.000"
"11.677","1421.000","11.677","2041.000","11.677","1417.000","11.677","1338.000"
"11.682","1131.000","11.682","1464.000","11.682","1211.000","11.682","917.000"
"11.686","923.000","11.686","1110.000","11.686","1109.000","11.686","594.000"
"11.691","820.000","11.691","902.000","11.691","986.000","11.691","413.000"
"11.695","760.000","11.695","822.000","11.695","925.000","11.695","324.000"
"11.699","716.000","11.699","807.000","11.699","887.000","11.699","274.000"
"11.704","699.000","11.704","807.000","11.704","903.000","11.704","263.000"
"11.708","681.000","11.708","789.000","11.708","932.000","11.708","250.000"
"11.712","678.000","11.712","770.000","11.712","918.000","11.712","250.000"
