"Ion 119.00 (118.70 to 119.70): MA_Population_33-1.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_33-1.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_33-1.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_33-1.D\data.ms",""
"11.625","304.000","11.625","444.000","11.625","383.000","11.625","155.000"
"11.629","309.000","11.629","403.000","11.629","352.000","11.629","157.000"
"11.634","307.000","11.634","366.000","11.634","348.000","11.634","153.000"
"11.638","310.000","11.638","353.000","11.638","348.000","11.638","159.000"
"11.643","313.000","11.643","362.000","11.643","338.000","11.643","162.000"
"11.647","331.000","11.647","399.000","11.647","346.000","11.647","185.000"
"11.651","361.000","11.651","502.000","11.651","358.000","11.651","233.000"
"11.656","392.000","11.656","683.000","11.656","374.000","11.656","323.000"
"11.660","429.000","11.660","952.000","11.660","405.000","11.660","478.000"
"11.664","463.000","11.664","1212.000","11.664","440.000","11.664","660.000"
"11.669","483.000","11.669","1380.000","11.669","478.000","11.669","809.000"
"11.673","485.000","11.673","1313.000","11.673","488.000","11.673","856.000"
"11.677","449.000","11.677","1078.000","11.677","485.000","11.677","734.000"
"11.682","408.000","11.682","831.000","11.682","469.000","11.682","580.000"
"11.686","371.000","11.686","608.000","11.686","453.000","11.686","402.000"
"11.691","342.000","11.691","472.000","11.691","434.000","11.691","283.000"
"11.695","333.000","11.695","410.000","11.695","425.000","11.695","216.000"
"11.699","319.000","11.699","389.000","11.699","432.000","11.699","183.000"
"11.704","318.000","11.704","382.000","11.704","427.000","11.704","179.000"
"11.708","316.000","11.708","373.000","11.708","436.000","11.708","176.000"
"11.712","317.000","11.712","385.000","11.712","440.000","11.712","176.000"
