"Ion 119.00 (118.70 to 119.70): MA_Population_66-1-.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_66-1-.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_66-1-.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_66-1-.D\data.ms",""
"11.625","309.000","11.625","288.000","11.625","237.000","11.625","258.000"
"11.629","311.000","11.629","281.000","11.629","236.000","11.629","226.000"
"11.634","303.000","11.634","272.000","11.634","234.000","11.634","179.000"
"11.638","306.000","11.638","258.000","11.638","224.000","11.638","164.000"
"11.642","316.000","11.642","250.000","11.642","225.000","11.642","143.000"
"11.647","327.000","11.647","257.000","11.647","225.000","11.647","142.000"
"11.651","340.000","11.651","263.000","11.651","228.000","11.651","144.000"
"11.655","362.000","11.655","312.000","11.655","238.000","11.655","160.000"
"11.660","380.000","11.660","400.000","11.660","247.000","11.660","196.000"
"11.664","402.000","11.664","581.000","11.664","247.000","11.664","291.000"
"11.669","402.000","11.669","834.000","11.669","253.000","11.669","437.000"
"11.673","411.000","11.673","1111.000","11.673","277.000","11.673","630.000"
"11.677","422.000","11.677","1292.000","11.677","295.000","11.677","787.000"
"11.682","405.000","11.682","1295.000","11.682","303.000","11.682","859.000"
"11.686","385.000","11.686","1086.000","11.686","305.000","11.686","789.000"
"11.690","358.000","11.690","812.000","11.690","286.000","11.690","618.000"
"11.695","339.000","11.695","584.000","11.695","283.000","11.695","430.000"
"11.699","310.000","11.699","408.000","11.699","271.000","11.699","297.000"
"11.704","304.000","11.704","323.000","11.704","269.000","11.704","214.000"
"11.708","295.000","11.708","287.000","11.708","270.000","11.708","171.000"
"11.712","293.000","11.712","276.000","11.712","260.000","11.712","158.000"
