"Ion 119.00 (118.70 to 119.70): MA_Population_58-1.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_58-1.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_58-1.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_58-1.D\data.ms",""
"11.625","457.000","11.625","421.000","11.625","377.000","11.625","518.000"
"11.629","441.000","11.629","406.000","11.629","371.000","11.629","388.000"
"11.634","435.000","11.634","388.000","11.634","357.000","11.634","285.000"
"11.638","449.000","11.638","389.000","11.638","338.000","11.638","218.000"
"11.642","464.000","11.642","391.000","11.642","345.000","11.642","189.000"
"11.647","494.000","11.647","421.000","11.647","351.000","11.647","190.000"
"11.651","542.000","11.651","496.000","11.651","346.000","11.651","204.000"
"11.655","605.000","11.655","661.000","11.655","367.000","11.655","280.000"
"11.660","680.000","11.660","1034.000","11.660","390.000","11.660","462.000"
"11.664","758.000","11.664","1603.000","11.664","458.000","11.664","772.000"
"11.669","869.000","11.669","2349.000","11.669","560.000","11.669","1222.000"
"11.673","951.000","11.673","3003.000","11.673","647.000","11.673","1734.000"
"11.677","961.000","11.677","3156.000","11.677","715.000","11.677","1988.000"
"11.682","920.000","11.682","2836.000","11.682","741.000","11.682","1989.000"
"11.686","796.000","11.686","2190.000","11.686","691.000","11.686","1604.000"
"11.690","661.000","11.690","1476.000","11.690","598.000","11.690","1132.000"
"11.695","551.000","11.695","934.000","11.695","528.000","11.695","680.000"
"11.699","479.000","11.699","631.000","11.699","473.000","11.699","424.000"
"11.704","439.000","11.704","524.000","11.704","430.000","11.704","279.000"
"11.708","427.000","11.708","478.000","11.708","437.000","11.708","237.000"
"11.712","412.000","11.712","470.000","11.712","439.000","11.712","206.000"
