"Ion 119.00 (118.70 to 119.70): MA_Population_29-1.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_29-1.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_29-1.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_29-1.D\data.ms",""
"11.625","316.000","11.625","844.000","11.625","458.000","11.625","154.000"
"11.629","311.000","11.629","659.000","11.629","415.000","11.629","156.000"
"11.634","313.000","11.634","517.000","11.634","392.000","11.634","153.000"
"11.638","325.000","11.638","444.000","11.638","382.000","11.638","153.000"
"11.643","348.000","11.643","454.000","11.643","385.000","11.643","163.000"
"11.647","386.000","11.647","566.000","11.647","394.000","11.647","208.000"
"11.651","428.000","11.651","807.000","11.651","405.000","11.651","323.000"
"11.656","498.000","11.656","1285.000","11.656","425.000","11.656","565.000"
"11.660","561.000","11.660","1938.000","11.660","493.000","11.660","960.000"
"11.664","615.000","11.664","2550.000","11.664","551.000","11.664","1417.000"
"11.669","633.000","11.669","2811.000","11.669","591.000","11.669","1734.000"
"11.673","610.000","11.673","2607.000","11.673","630.000","11.673","1755.000"
"11.677","529.000","11.677","2032.000","11.677","607.000","11.677","1450.000"
"11.682","456.000","11.682","1396.000","11.682","568.000","11.682","1017.000"
"11.686","404.000","11.686","937.000","11.686","542.000","11.686","661.000"
"11.691","361.000","11.691","652.000","11.691","518.000","11.691","402.000"
"11.695","330.000","11.695","523.000","11.695","499.000","11.695","266.000"
"11.699","316.000","11.699","477.000","11.699","504.000","11.699","201.000"
"11.704","318.000","11.704","464.000","11.704","511.000","11.704","177.000"
"11.708","317.000","11.708","459.000","11.708","536.000","11.708","181.000"
"11.712","319.000","11.712","460.000","11.712","540.000","11.712","165.000"
