"Ion 119.00 (118.70 to 119.70): MA_Population_32-1-1.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_32-1-1.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_32-1-1.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_32-1-1.D\data.ms",""
"11.625","216.000","11.625","264.000","11.625","241.000","11.625","113.000"
"11.629","213.000","11.629","261.000","11.629","234.000","11.629","116.000"
"11.634","212.000","11.634","259.000","11.634","225.000","11.634","112.000"
"11.638","220.000","11.638","260.000","11.638","226.000","11.638","114.000"
"11.643","224.000","11.643","267.000","11.643","230.000","11.643","115.000"
"11.647","233.000","11.647","283.000","11.647","225.000","11.647","117.000"
"11.651","243.000","11.651","309.000","11.651","229.000","11.651","132.000"
"11.656","250.000","11.656","373.000","11.656","234.000","11.656","163.000"
"11.660","247.000","11.660","455.000","11.660","233.000","11.660","210.000"
"11.664","242.000","11.664","551.000","11.664","240.000","11.664","282.000"
"11.669","243.000","11.669","644.000","11.669","241.000","11.669","341.000"
"11.673","235.000","11.673","646.000","11.673","243.000","11.673","376.000"
"11.678","226.000","11.678","572.000","11.678","247.000","11.678","356.000"
"11.682","224.000","11.682","481.000","11.682","254.000","11.682","288.000"
"11.686","221.000","11.686","389.000","11.686","257.000","11.686","221.000"
"11.691","216.000","11.691","331.000","11.691","259.000","11.691","170.000"
"11.695","224.000","11.695","296.000","11.695","262.000","11.695","139.000"
"11.699","221.000","11.699","282.000","11.699","261.000","11.699","124.000"
"11.704","214.000","11.704","281.000","11.704","266.000","11.704","124.000"
"11.708","214.000","11.708","275.000","11.708","266.000","11.708","117.000"
"11.713","212.000","11.713","281.000","11.713","263.000","11.713","118.000"
