"Ion 119.00 (118.70 to 119.70): MA_Population_16-1.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_16-1.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_16-1.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_16-1.D\data.ms",""
"11.625","301.000","11.625","295.000","11.625","269.000","11.625","151.000"
"11.629","308.000","11.629","279.000","11.629","260.000","11.629","151.000"
"11.634","303.000","11.634","280.000","11.634","268.000","11.634","151.000"
"11.638","311.000","11.638","273.000","11.638","263.000","11.638","149.000"
"11.642","318.000","11.642","303.000","11.642","263.000","11.642","155.000"
"11.647","322.000","11.647","347.000","11.647","266.000","11.647","177.000"
"11.651","343.000","11.651","461.000","11.651","268.000","11.651","232.000"
"11.655","366.000","11.655","611.000","11.655","265.000","11.655","317.000"
"11.660","387.000","11.660","821.000","11.660","278.000","11.660","446.000"
"11.664","399.000","11.664","953.000","11.664","283.000","11.664","552.000"
"11.669","416.000","11.669","976.000","11.669","282.000","11.669","596.000"
"11.673","419.000","11.673","868.000","11.673","288.000","11.673","591.000"
"11.677","423.000","11.677","694.000","11.677","285.000","11.677","475.000"
"11.682","422.000","11.682","522.000","11.682","283.000","11.682","368.000"
"11.686","416.000","11.686","415.000","11.686","275.000","11.686","268.000"
"11.690","394.000","11.690","348.000","11.690","283.000","11.690","206.000"
"11.695","382.000","11.695","326.000","11.695","273.000","11.695","177.000"
"11.699","379.000","11.699","309.000","11.699","275.000","11.699","164.000"
"11.704","371.000","11.704","301.000","11.704","287.000","11.704","156.000"
"11.708","366.000","11.708","293.000","11.708","281.000","11.708","164.000"
"11.712","357.000","11.712","297.000","11.712","284.000","11.712","162.000"
