"Ion 119.00 (118.70 to 119.70): MA_Population_18-1.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_18-1.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_18-1.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_18-1.D\data.ms",""
"11.625","386.000","11.625","602.000","11.625","373.000","11.625","188.000"
"11.629","388.000","11.629","525.000","11.629","367.000","11.629","188.000"
"11.634","380.000","11.634","462.000","11.634","363.000","11.634","188.000"
"11.638","392.000","11.638","444.000","11.638","363.000","11.638","186.000"
"11.642","420.000","11.642","446.000","11.642","364.000","11.642","192.000"
"11.647","462.000","11.647","483.000","11.647","385.000","11.647","206.000"
"11.651","566.000","11.651","582.000","11.651","427.000","11.651","259.000"
"11.656","730.000","11.656","727.000","11.656","512.000","11.656","340.000"
"11.660","957.000","11.660","950.000","11.660","646.000","11.660","467.000"
"11.664","1163.000","11.664","1133.000","11.664","828.000","11.664","620.000"
"11.669","1276.000","11.669","1174.000","11.669","923.000","11.669","703.000"
"11.673","1195.000","11.673","1081.000","11.673","940.000","11.673","685.000"
"11.677","1009.000","11.677","873.000","11.677","846.000","11.677","574.000"
"11.682","795.000","11.682","709.000","11.682","684.000","11.682","444.000"
"11.686","605.000","11.686","558.000","11.686","575.000","11.686","329.000"
"11.691","494.000","11.691","489.000","11.691","487.000","11.691","258.000"
"11.695","448.000","11.695","445.000","11.695","448.000","11.695","221.000"
"11.699","420.000","11.699","426.000","11.699","429.000","11.699","205.000"
"11.704","414.000","11.704","433.000","11.704","429.000","11.704","203.000"
"11.708","414.000","11.708","431.000","11.708","425.000","11.708","198.000"
"11.712","405.000","11.712","420.000","11.712","433.000","11.712","191.000"
