"Ion 119.00 (118.70 to 119.70): MA_Population_27-1.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_27-1.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_27-1.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_27-1.D\data.ms",""
"11.625","297.000","11.625","334.000","11.625","313.000","11.625","145.000"
"11.629","302.000","11.629","319.000","11.629","301.000","11.629","139.000"
"11.634","306.000","11.634","318.000","11.634","293.000","11.634","138.000"
"11.638","328.000","11.638","331.000","11.638","290.000","11.638","140.000"
"11.642","354.000","11.642","349.000","11.642","279.000","11.642","148.000"
"11.647","411.000","11.647","414.000","11.647","290.000","11.647","171.000"
"11.651","466.000","11.651","550.000","11.651","302.000","11.651","229.000"
"11.656","517.000","11.656","747.000","11.656","310.000","11.656","335.000"
"11.660","536.000","11.660","1033.000","11.660","328.000","11.660","494.000"
"11.664","551.000","11.664","1314.000","11.664","352.000","11.664","689.000"
"11.669","531.000","11.669","1407.000","11.669","369.000","11.669","837.000"
"11.673","506.000","11.673","1320.000","11.673","378.000","11.673","842.000"
"11.677","450.000","11.677","1074.000","11.677","359.000","11.677","721.000"
"11.682","411.000","11.682","804.000","11.682","353.000","11.682","546.000"
"11.686","375.000","11.686","591.000","11.686","337.000","11.686","368.000"
"11.690","354.000","11.690","466.000","11.690","337.000","11.690","255.000"
"11.695","338.000","11.695","409.000","11.695","331.000","11.695","202.000"
"11.699","324.000","11.699","384.000","11.699","332.000","11.699","169.000"
"11.704","318.000","11.704","369.000","11.704","338.000","11.704","157.000"
"11.708","318.000","11.708","358.000","11.708","339.000","11.708","159.000"
"11.712","308.000","11.712","366.000","11.712","343.000","11.712","158.000"
