"Ion 119.00 (118.70 to 119.70): MA_Population_52-1.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_52-1.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_52-1.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_52-1.D\data.ms",""
"11.625","243.000","11.625","210.000","11.625","218.000","11.625","189.000"
"11.629","248.000","11.629","202.000","11.629","207.000","11.629","173.000"
"11.634","249.000","11.634","208.000","11.634","208.000","11.634","146.000"
"11.638","254.000","11.638","208.000","11.638","211.000","11.638","124.000"
"11.642","250.000","11.642","206.000","11.642","211.000","11.642","119.000"
"11.647","252.000","11.647","228.000","11.647","226.000","11.647","123.000"
"11.651","261.000","11.651","242.000","11.651","217.000","11.651","129.000"
"11.656","259.000","11.656","299.000","11.656","212.000","11.656","158.000"
"11.660","274.000","11.660","411.000","11.660","217.000","11.660","214.000"
"11.664","273.000","11.664","575.000","11.664","225.000","11.664","306.000"
"11.669","272.000","11.669","752.000","11.669","226.000","11.669","418.000"
"11.673","263.000","11.673","868.000","11.673","236.000","11.673","517.000"
"11.677","253.000","11.677","887.000","11.677","241.000","11.677","574.000"
"11.682","255.000","11.682","768.000","11.682","247.000","11.682","523.000"
"11.686","258.000","11.686","609.000","11.686","247.000","11.686","436.000"
"11.691","250.000","11.691","429.000","11.691","248.000","11.691","329.000"
"11.695","250.000","11.695","320.000","11.695","250.000","11.695","218.000"
"11.699","252.000","11.699","275.000","11.699","254.000","11.699","169.000"
"11.704","243.000","11.704","243.000","11.704","253.000","11.704","141.000"
"11.708","251.000","11.708","238.000","11.708","257.000","11.708","132.000"
"11.712","250.000","11.712","244.000","11.712","275.000","11.712","129.000"
