"Ion 119.00 (118.70 to 119.70): MA_Population_42-1-.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_42-1-.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_42-1-.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_42-1-.D\data.ms",""
"11.625","573.000","11.625","740.000","11.625","448.000","11.625","246.000"
"11.629","587.000","11.629","673.000","11.629","440.000","11.629","252.000"
"11.634","612.000","11.634","603.000","11.634","448.000","11.634","240.000"
"11.638","653.000","11.638","574.000","11.638","455.000","11.638","239.000"
"11.642","738.000","11.642","579.000","11.642","437.000","11.642","239.000"
"11.647","865.000","11.647","655.000","11.647","457.000","11.647","273.000"
"11.651","1012.000","11.651","810.000","11.651","459.000","11.651","324.000"
"11.656","1102.000","11.656","1196.000","11.656","486.000","11.656","478.000"
"11.660","1113.000","11.660","1810.000","11.660","483.000","11.660","820.000"
"11.664","1076.000","11.664","2701.000","11.664","499.000","11.664","1323.000"
"11.669","955.000","11.669","3496.000","11.669","511.000","11.669","1920.000"
"11.673","885.000","11.673","3792.000","11.673","497.000","11.673","2296.000"
"11.677","815.000","11.677","3635.000","11.677","518.000","11.677","2372.000"
"11.682","731.000","11.682","2911.000","11.682","512.000","11.682","2076.000"
"11.686","670.000","11.686","2071.000","11.686","529.000","11.686","1496.000"
"11.691","672.000","11.691","1370.000","11.691","530.000","11.691","1006.000"
"11.695","646.000","11.695","901.000","11.695","518.000","11.695","611.000"
"11.699","599.000","11.699","700.000","11.699","532.000","11.699","395.000"
"11.704","610.000","11.704","633.000","11.704","543.000","11.704","313.000"
"11.708","595.000","11.708","609.000","11.708","541.000","11.708","272.000"
"11.712","605.000","11.712","590.000","11.712","536.000","11.712","275.000"
