"Ion 119.00 (118.70 to 119.70): MA_Population_70-1.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_70-1.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_70-1.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_70-1.D\data.ms",""
"11.625","311.000","11.625","259.000","11.625","244.000","11.625","293.000"
"11.629","304.000","11.629","271.000","11.629","236.000","11.629","243.000"
"11.633","301.000","11.633","268.000","11.633","233.000","11.633","192.000"
"11.638","313.000","11.638","271.000","11.638","234.000","11.638","162.000"
"11.642","300.000","11.642","271.000","11.642","230.000","11.642","147.000"
"11.646","309.000","11.646","274.000","11.646","223.000","11.646","141.000"
"11.651","321.000","11.651","296.000","11.651","233.000","11.651","144.000"
"11.655","338.000","11.655","314.000","11.655","241.000","11.655","159.000"
"11.660","352.000","11.660","388.000","11.660","234.000","11.660","173.000"
"11.664","361.000","11.664","475.000","11.664","251.000","11.664","240.000"
"11.668","363.000","11.668","659.000","11.668","249.000","11.668","331.000"
"11.673","357.000","11.673","855.000","11.673","257.000","11.673","473.000"
"11.677","353.000","11.677","1013.000","11.677","259.000","11.677","588.000"
"11.681","353.000","11.681","1012.000","11.681","264.000","11.681","655.000"
"11.686","337.000","11.686","884.000","11.686","261.000","11.686","612.000"
"11.690","317.000","11.690","710.000","11.690","265.000","11.690","497.000"
"11.695","316.000","11.695","507.000","11.695","263.000","11.695","363.000"
"11.699","306.000","11.699","378.000","11.699","264.000","11.699","249.000"
"11.703","311.000","11.703","321.000","11.703","255.000","11.703","198.000"
"11.708","299.000","11.708","298.000","11.708","262.000","11.708","169.000"
"11.712","291.000","11.712","284.000","11.712","259.000","11.712","155.000"
