"Ion 119.00 (118.70 to 119.70): MA_Population_11-1.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_11-1.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_11-1.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_11-1.D\data.ms",""
"11.625","594.000","11.625","2542.000","11.625","612.000","11.625","301.000"
"11.629","605.000","11.629","1770.000","11.629","606.000","11.629","296.000"
"11.634","601.000","11.634","1219.000","11.634","599.000","11.634","299.000"
"11.638","594.000","11.638","925.000","11.638","580.000","11.638","313.000"
"11.643","651.000","11.643","898.000","11.643","600.000","11.643","349.000"
"11.647","741.000","11.647","1098.000","11.647","648.000","11.647","461.000"
"11.651","930.000","11.651","1545.000","11.651","718.000","11.651","675.000"
"11.656","1236.000","11.656","2370.000","11.656","883.000","11.656","1096.000"
"11.660","1625.000","11.660","3304.000","11.660","1125.000","11.660","1694.000"
"11.664","1955.000","11.664","4097.000","11.664","1398.000","11.664","2280.000"
"11.669","2080.000","11.669","4222.000","11.669","1568.000","11.669","2620.000"
"11.673","1875.000","11.673","3593.000","11.673","1524.000","11.673","2455.000"
"11.678","1534.000","11.678","2673.000","11.678","1340.000","11.678","1891.000"
"11.682","1170.000","11.682","1841.000","11.682","1073.000","11.682","1289.000"
"11.686","921.000","11.686","1285.000","11.686","870.000","11.686","833.000"
"11.691","776.000","11.691","1029.000","11.691","743.000","11.691","551.000"
"11.695","715.000","11.695","946.000","11.695","703.000","11.695","413.000"
"11.699","677.000","11.699","911.000","11.699","668.000","11.699","359.000"
"11.704","645.000","11.704","905.000","11.704","667.000","11.704","331.000"
"11.708","650.000","11.708","881.000","11.708","683.000","11.708","325.000"
"11.712","645.000","11.712","851.000","11.712","688.000","11.712","323.000"
