"Ion 119.00 (118.70 to 119.70): MA_Population_38-1.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_38-1.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_38-1.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_38-1.D\data.ms",""
"11.625","763.000","11.625","758.000","11.625","625.000","11.625","477.000"
"11.629","761.000","11.629","706.000","11.629","605.000","11.629","419.000"
"11.634","762.000","11.634","689.000","11.634","601.000","11.634","370.000"
"11.638","765.000","11.638","675.000","11.638","613.000","11.638","349.000"
"11.642","780.000","11.642","678.000","11.642","593.000","11.642","334.000"
"11.647","810.000","11.647","719.000","11.647","617.000","11.647","357.000"
"11.651","972.000","11.651","836.000","11.651","650.000","11.651","403.000"
"11.656","1179.000","11.656","1151.000","11.656","807.000","11.656","538.000"
"11.660","1575.000","11.660","1636.000","11.660","979.000","11.660","798.000"
"11.664","2082.000","11.664","2243.000","11.664","1285.000","11.664","1159.000"
"11.669","2654.000","11.669","2761.000","11.669","1665.000","11.669","1553.000"
"11.673","2815.000","11.673","2954.000","11.673","1937.000","11.673","1822.000"
"11.677","2751.000","11.677","2789.000","11.677","2013.000","11.677","1830.000"
"11.682","2256.000","11.682","2188.000","11.682","1808.000","11.682","1573.000"
"11.686","1691.000","11.686","1597.000","11.686","1451.000","11.686","1141.000"
"11.691","1268.000","11.691","1149.000","11.691","1125.000","11.691","787.000"
"11.695","1009.000","11.695","869.000","11.695","874.000","11.695","550.000"
"11.699","867.000","11.699","763.000","11.699","747.000","11.699","436.000"
"11.704","831.000","11.704","722.000","11.704","704.000","11.704","385.000"
"11.708","820.000","11.708","699.000","11.708","663.000","11.708","367.000"
"11.712","802.000","11.712","695.000","11.712","664.000","11.712","350.000"
