"Ion 119.00 (118.70 to 119.70): MA_Population_55-1.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_55-1.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_55-1.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_55-1.D\data.ms",""
"11.625","519.000","11.625","470.000","11.625","449.000","11.625","451.000"
"11.629","489.000","11.629","458.000","11.629","443.000","11.629","361.000"
"11.634","487.000","11.634","449.000","11.634","431.000","11.634","283.000"
"11.638","505.000","11.638","460.000","11.638","439.000","11.638","248.000"
"11.643","497.000","11.643","466.000","11.643","434.000","11.643","236.000"
"11.647","514.000","11.647","472.000","11.647","440.000","11.647","232.000"
"11.651","550.000","11.651","530.000","11.651","447.000","11.651","244.000"
"11.656","583.000","11.656","643.000","11.656","471.000","11.656","306.000"
"11.660","636.000","11.660","931.000","11.660","503.000","11.660","432.000"
"11.664","723.000","11.664","1309.000","11.664","560.000","11.664","642.000"
"11.669","831.000","11.669","1797.000","11.669","633.000","11.669","951.000"
"11.673","923.000","11.673","2128.000","11.673","719.000","11.673","1240.000"
"11.678","931.000","11.678","2232.000","11.678","783.000","11.678","1407.000"
"11.682","871.000","11.682","1931.000","11.682","784.000","11.682","1306.000"
"11.686","771.000","11.686","1501.000","11.686","759.000","11.686","1057.000"
"11.691","676.000","11.691","1083.000","11.691","679.000","11.691","757.000"
"11.695","581.000","11.695","802.000","11.695","641.000","11.695","505.000"
"11.699","525.000","11.699","646.000","11.699","598.000","11.699","367.000"
"11.704","499.000","11.704","579.000","11.704","586.000","11.704","282.000"
"11.708","505.000","11.708","557.000","11.708","557.000","11.708","260.000"
"11.713","492.000","11.713","559.000","11.713","585.000","11.713","252.000"
