"Ion 119.00 (118.70 to 119.70): MA_Population_14-1.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_14-1.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_14-1.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_14-1.D\data.ms",""
"11.625","256.000","11.625","328.000","11.625","271.000","11.625","140.000"
"11.629","255.000","11.629","314.000","11.629","268.000","11.629","138.000"
"11.634","261.000","11.634","301.000","11.634","270.000","11.634","141.000"
"11.638","265.000","11.638","300.000","11.638","265.000","11.638","139.000"
"11.643","272.000","11.643","304.000","11.643","280.000","11.643","144.000"
"11.647","286.000","11.647","332.000","11.647","277.000","11.647","152.000"
"11.651","312.000","11.651","383.000","11.651","294.000","11.651","175.000"
"11.656","370.000","11.656","450.000","11.656","321.000","11.656","224.000"
"11.660","401.000","11.660","527.000","11.660","351.000","11.660","273.000"
"11.664","448.000","11.664","588.000","11.664","383.000","11.664","320.000"
"11.669","466.000","11.669","578.000","11.669","415.000","11.669","344.000"
"11.673","440.000","11.673","535.000","11.673","406.000","11.673","322.000"
"11.678","402.000","11.678","470.000","11.678","376.000","11.678","276.000"
"11.682","354.000","11.682","403.000","11.682","361.000","11.682","220.000"
"11.686","314.000","11.686","343.000","11.686","340.000","11.686","186.000"
"11.691","306.000","11.691","339.000","11.691","324.000","11.691","160.000"
"11.695","287.000","11.695","315.000","11.695","314.000","11.695","154.000"
"11.699","282.000","11.699","310.000","11.699","312.000","11.699","151.000"
"11.704","284.000","11.704","318.000","11.704","302.000","11.704","142.000"
"11.708","275.000","11.708","320.000","11.708","308.000","11.708","139.000"
"11.713","277.000","11.713","318.000","11.713","316.000","11.713","149.000"
