"Ion 119.00 (118.70 to 119.70): MA_Population_36-1.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_36-1.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_36-1.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_36-1.D\data.ms",""
"11.625","315.000","11.625","356.000","11.625","347.000","11.625","188.000"
"11.629","314.000","11.629","354.000","11.629","345.000","11.629","178.000"
"11.634","314.000","11.634","353.000","11.634","343.000","11.634","167.000"
"11.638","318.000","11.638","356.000","11.638","337.000","11.638","170.000"
"11.642","332.000","11.642","352.000","11.642","335.000","11.642","170.000"
"11.647","342.000","11.647","380.000","11.647","349.000","11.647","178.000"
"11.651","370.000","11.651","416.000","11.651","348.000","11.651","192.000"
"11.656","404.000","11.656","495.000","11.656","372.000","11.656","227.000"
"11.660","446.000","11.660","603.000","11.660","403.000","11.660","296.000"
"11.664","480.000","11.664","735.000","11.664","445.000","11.664","381.000"
"11.669","503.000","11.669","795.000","11.669","475.000","11.669","446.000"
"11.673","503.000","11.673","792.000","11.673","484.000","11.673","475.000"
"11.677","478.000","11.677","732.000","11.677","488.000","11.677","448.000"
"11.682","425.000","11.682","594.000","11.682","456.000","11.682","368.000"
"11.686","371.000","11.686","491.000","11.686","429.000","11.686","288.000"
"11.691","350.000","11.691","421.000","11.691","407.000","11.691","232.000"
"11.695","331.000","11.695","399.000","11.695","419.000","11.695","199.000"
"11.699","320.000","11.699","385.000","11.699","407.000","11.699","190.000"
"11.704","309.000","11.704","386.000","11.704","405.000","11.704","180.000"
"11.708","311.000","11.708","375.000","11.708","404.000","11.708","179.000"
"11.712","309.000","11.712","370.000","11.712","396.000","11.712","176.000"
