"Ion 119.00 (118.70 to 119.70): MA_Population_69-1.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_69-1.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_69-1.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_69-1.D\data.ms",""
"11.625","332.000","11.625","280.000","11.625","257.000","11.625","351.000"
"11.629","318.000","11.629","271.000","11.629","251.000","11.629","282.000"
"11.634","315.000","11.634","262.000","11.634","246.000","11.634","213.000"
"11.638","333.000","11.638","261.000","11.638","242.000","11.638","178.000"
"11.642","377.000","11.642","272.000","11.642","237.000","11.642","146.000"
"11.647","441.000","11.647","290.000","11.647","230.000","11.647","138.000"
"11.651","556.000","11.651","332.000","11.651","235.000","11.651","143.000"
"11.656","651.000","11.656","400.000","11.656","238.000","11.656","165.000"
"11.660","708.000","11.660","552.000","11.660","250.000","11.660","232.000"
"11.664","719.000","11.664","816.000","11.664","262.000","11.664","363.000"
"11.669","665.000","11.669","1205.000","11.669","278.000","11.669","589.000"
"11.673","599.000","11.673","1661.000","11.673","285.000","11.673","871.000"
"11.677","507.000","11.677","1970.000","11.677","297.000","11.677","1193.000"
"11.682","452.000","11.682","1886.000","11.682","304.000","11.682","1272.000"
"11.686","413.000","11.686","1605.000","11.686","303.000","11.686","1151.000"
"11.691","398.000","11.691","1197.000","11.691","302.000","11.691","913.000"
"11.695","354.000","11.695","812.000","11.695","307.000","11.695","620.000"
"11.699","342.000","11.699","518.000","11.699","295.000","11.699","392.000"
"11.704","332.000","11.704","363.000","11.704","284.000","11.704","245.000"
"11.708","319.000","11.708","320.000","11.708","280.000","11.708","174.000"
"11.712","309.000","11.712","300.000","11.712","282.000","11.712","167.000"
